date,grid_load_mwh,grid_load_incl_pumped_mwh,residual_load_mwh
2024-08-22,1246000.0,1291717.0,527235.0
2024-08-23,1268706.0,1334527.0,356684.0
2024-08-24,1085988.0,1134618.0,378385.0
2024-08-25,1004808.0,1071078.0,353288.0
2024-08-26,1226284.0,1268008.0,743800.0
2024-08-27,1247752.0,1291326.0,771624.0
2024-08-28,1291307.0,1330502.0,719771.0
2024-08-29,1314414.0,1354384.0,826087.0
2024-08-30,1280762.0,1308477.0,892276.0
2024-08-31,1058827.0,1098894.0,517684.0
2024-09-01,1011449.0,1061620.0,360754.0
2024-09-02,1276206.0,1302594.0,773474.0
2024-09-03,1326380.0,1359242.0,962491.0
2024-09-04,1357057.0,1381694.0,1004624.0
2024-09-05,1335986.0,1372750.0,563084.0
2024-09-06,1313288.0,1348780.0,629286.0
2024-09-07,1099099.0,1135334.0,627886.0
2024-09-08,1040700.0,1081299.0,646430.0
2024-09-09,1296825.0,1325214.0,870441.0
2024-09-10,1332218.0,1394411.0,545879.0
2024-09-11,1321308.0,1364269.0,718407.0
2024-09-12,1284407.0,1316952.0,925983.0
2024-09-13,1277324.0,1303571.0,776944.0
2024-09-14,1091412.0,1146568.0,475770.0
2024-09-15,1021686.0,1066837.0,547986.0
2024-09-16,1291542.0,1309116.0,907808.0
2024-09-17,1303570.0,1335429.0,769375.0
2024-09-18,1273465.0,1305977.0,683651.0
2024-09-19,1277032.0,1310690.0,630777.0
2024-09-20,1208867.0,1254689.0,489409.0
2024-09-21,1028701.0,1063305.0,514003.0
2024-09-22,945732.0,980302.0,616268.0
2024-09-23,1206294.0,1234062.0,956247.0
2024-09-24,1260840.0,1286471.0,794258.0
2024-09-25,1293647.0,1337207.0,644811.0
2024-09-26,1321367.0,1358624.0,532427.0
2024-09-27,1337459.0,1403808.0,240245.0
2024-09-28,1146371.0,1200558.0,391148.0
2024-09-29,1039369.0,1084002.0,582386.0
2024-09-30,1326560.0,1392586.0,537332.0
2024-10-01,1339664.0,1377188.0,710808.0
2024-10-02,1318950.0,1355298.0,865066.0
2024-10-03,1095670.0,1132678.0,644213.0
2024-10-04,1156938.0,1189731.0,856444.0
2024-10-05,1066269.0,1096262.0,840454.0
2024-10-06,1017598.0,1071183.0,528884.0
2024-10-07,1287633.0,1332678.0,787604.0
2024-10-08,1308472.0,1343295.0,842137.0
2024-10-09,1311438.0,1356940.0,709002.0
2024-10-10,1348679.0,1398120.0,560284.0
2024-10-11,1316338.0,1357456.0,804420.0
2024-10-12,1131570.0,1165600.0,520435.0
2024-10-13,1082438.0,1150705.0,120293.0
2024-10-14,1311608.0,1331837.0,988368.0
2024-10-15,1315373.0,1338991.0,928583.0
2024-10-16,1352292.0,1402329.0,497367.0
2024-10-17,1343938.0,1377045.0,754466.0
2024-10-18,1284742.0,1299626.0,1047960.0
2024-10-19,1126902.0,1141667.0,802569.0
2024-10-20,1051856.0,1096217.0,515288.0
2024-10-21,1302106.0,1335109.0,777167.0
2024-10-22,1331706.0,1363706.0,859094.0
2024-10-23,1328510.0,1348015.0,1047353.0
2024-10-24,1320364.0,1339743.0,943894.0
2024-10-25,1282763.0,1312020.0,967844.0
2024-10-26,1086088.0,1105548.0,808560.0
2024-10-27,1096052.0,1143445.0,741224.0
2024-10-28,1300084.0,1332396.0,831537.0
2024-10-29,1309611.0,1327846.0,1050937.0
2024-10-30,1343603.0,1366408.0,1116501.0
2024-10-31,1268132.0,1280958.0,877364.0
2024-11-01,1219064.0,1266396.0,653850.0
2024-11-02,1141277.0,1162970.0,926570.0
2024-11-03,1126542.0,1159416.0,841771.0
2024-11-04,1335926.0,1356331.0,1139484.0
2024-11-05,1385386.0,1414999.0,1202904.0
2024-11-06,1414779.0,1439437.0,1370874.0
2024-11-07,1421129.0,1448056.0,1353774.0
2024-11-08,1406847.0,1427505.0,1112962.0
2024-11-09,1201015.0,1222215.0,1040359.0
2024-11-10,1141521.0,1164533.0,1047282.0
2024-11-11,1430760.0,1460154.0,1142224.0
2024-11-12,1439917.0,1475340.0,1266267.0
2024-11-13,1475446.0,1508360.0,1282439.0
2024-11-14,1482973.0,1515776.0,1055474.0
2024-11-15,1434138.0,1455878.0,1112463.0
2024-11-16,1304616.0,1332901.0,661281.0
2024-11-17,1239255.0,1287231.0,397623.0
2024-11-18,1507170.0,1537390.0,760975.0
2024-11-19,1493537.0,1522986.0,919864.0
2024-11-20,1500267.0,1539016.0,879580.0
2024-11-21,1533264.0,1561756.0,968038.0
2024-11-22,1507946.0,1526151.0,725585.0
2024-11-23,1331646.0,1358006.0,518462.0
2024-11-24,1238422.0,1304510.0,199177.0
2024-11-25,1459587.0,1486138.0,562642.0
2024-11-26,1492434.0,1524696.0,893195.0
2024-11-27,1485728.0,1514879.0,796635.0
2024-11-28,1502966.0,1543742.0,648076.0
2024-11-29,1427937.0,1444078.0,1143214.0
2024-11-30,1295023.0,1331656.0,730790.0
2024-12-01,1240470.0,1264290.0,769119.0
2024-12-02,1491682.0,1527780.0,908546.0
2024-12-03,1492615.0,1533808.0,1052129.0
2024-12-04,1513638.0,1540820.0,1301592.0
2024-12-05,1539786.0,1566146.0,845348.0
2024-12-06,1488982.0,1531406.0,688049.0
2024-12-07,1291138.0,1337608.0,610786.0
2024-12-08,1231954.0,1258589.0,774669.0
2024-12-09,1540947.0,1583454.0,788890.0
2024-12-10,1517899.0,1547491.0,1087800.0
2024-12-11,1496399.0,1538907.0,1425076.0
2024-12-12,1461856.0,1503156.0,1411589.0
2024-12-13,1453673.0,1492948.0,1280781.0
2024-12-14,1324852.0,1334149.0,784592.0
2024-12-15,1260324.0,1298539.0,333381.0
2024-12-16,1441870.0,1484574.0,381096.0
2024-12-17,1436394.0,1469454.0,765562.0
2024-12-18,1401655.0,1436044.0,442971.0
2024-12-19,1382758.0,1435545.0,349666.0
2024-12-20,1380820.0,1418904.0,480681.0
2024-12-21,1269902.0,1318143.0,230113.0
2024-12-22,1188051.0,1231234.0,356184.0
2024-12-23,1276222.0,1321559.0,483750.0
2024-12-24,1130943.0,1157066.0,791685.0
2024-12-25,1087917.0,1131888.0,828199.0
2024-12-26,1072831.0,1094785.0,917304.0
2024-12-27,1155151.0,1173772.0,1044582.0
2024-12-28,1150660.0,1169656.0,1035781.0
2024-12-29,1179162.0,1191640.0,784750.0
2024-12-30,1278285.0,1305940.0,659824.0
2024-12-31,1204280.0,1228305.0,556834.0
2025-01-01,1180492.0,1249835.0,151268.0
2025-01-02,1306006.0,1320455.0,639133.0
2025-01-03,1366766.0,1414781.0,560842.0
2025-01-04,1264564.0,1270472.0,920981.0
2025-01-05,1225572.0,1242696.0,614012.0
2025-01-06,1346586.0,1408274.0,260673.0
2025-01-07,1479230.0,1517188.0,470202.0
2025-01-08,1538766.0,1576488.0,842150.0
2025-01-09,1497377.0,1522594.0,1037545.0
2025-01-10,1535797.0,1570858.0,879665.0
2025-01-11,1344364.0,1372628.0,728238.0
2025-01-12,1268635.0,1292938.0,924281.0
2025-01-13,1543399.0,1566310.0,1174300.0
2025-01-14,1617478.0,1655648.0,971045.0
2025-01-15,1525815.0,1554333.0,1321720.0
